model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.9950828752713933,root_mean_squared_error,0.07485127449035645,3.5090696811676025,0.0005741119384765625,0.2596461772918701,2,True,12
ExtraTreesMSE,-1.0025580501976312,root_mean_squared_error,0.06793975830078125,0.5685789585113525,0.06793975830078125,0.5685789585113525,1,True,7
CatBoost,-1.0071718530267193,root_mean_squared_error,0.0018763542175292969,1.5554962158203125,0.0018763542175292969,1.5554962158203125,1,True,6
LightGBMXT,-1.0358171823856785,root_mean_squared_error,0.004461050033569336,1.1253483295440674,0.004461050033569336,1.1253483295440674,1,True,3
LightGBMLarge,-1.0753896641101892,root_mean_squared_error,0.0015747547149658203,0.9187526702880859,0.0015747547149658203,0.9187526702880859,1,True,11
LightGBM,-1.0949441539149347,root_mean_squared_error,0.003702878952026367,0.5645225048065186,0.003702878952026367,0.5645225048065186,1,True,4
RandomForestMSE,-1.1083733506475115,root_mean_squared_error,0.05787038803100586,0.7074694633483887,0.05787038803100586,0.7074694633483887,1,True,5
NeuralNetFastAI,-1.1352323656615038,root_mean_squared_error,0.027647972106933594,8.107845783233643,0.027647972106933594,8.107845783233643,1,True,8
NeuralNetTorch,-1.1458871027746722,root_mean_squared_error,0.024599313735961914,54.99919676780701,0.024599313735961914,54.99919676780701,1,True,10
XGBoost,-1.2801301298426264,root_mean_squared_error,0.0031423568725585938,0.5586428642272949,0.0031423568725585938,0.5586428642272949,1,True,9
KNeighborsUnif,-1.3040554987858075,root_mean_squared_error,0.019235610961914062,3.5691962242126465,0.019235610961914062,3.5691962242126465,1,True,1
KNeighborsDist,-1.3282868346344483,root_mean_squared_error,0.01631474494934082,0.06229853630065918,0.01631474494934082,0.06229853630065918,1,True,2
